order_id,customer_name,region,revenue,load_timestamp
ORD-1001,Acme Corp,West,1250.00,2026-08-11T08:15:00Z
ORD-1002,Bell Industries,East,875.50,2026-08-11T07:42:00Z
ORD-1003,Cobalt LLC,South,430.00,2026-08-11T09:03:00Z
ORD-1004,Delta Freight,North,2100.75,2026-08-11T06:55:00Z
ORD-1005,Echo Retail,,560.25,2026-08-11T08:30:00Z
ORD-1006,Foxtrot Supply,West,-320.00,2026-08-11T07:10:00Z
ORD-1007,Granite Co,East,990.00,2026-08-08T05:00:00Z
ORD-1008,Harbor Goods,South,1500.00,2026-08-11T09:45:00Z
ORD-1009,Ironclad Inc,North,725.60,2026-08-11T08:05:00Z
ORD-1010,Juniper Trading,West,340.00,2026-08-11T07:58:00Z
ORD-1010,Juniper Trading,West,340.00,2026-08-11T07:58:00Z
ORD-1011,Kestrel Mfg,East,1120.40,2026-08-11T09:20:00Z
